filename,question,choices__001,choices__002,choices__003,choices__004,choices__005,choices__006,correct_answer,user_data,user_data__voted_answers,user_data__vote_count,user_data__is_most_voted
,,,,,,,,,,D,3,FALSE
result_examtopics professional cloud architect topic 1 46 discussion.html,"Case study -This is a case study. Case studies are not timed separately. You can use as much exam time as you would like to complete each case. However, there may be additional case studies and sections on this exam. You must manage your time to ensure that you are able to complete all questions included on this exam in the time provided.To answer the questions included in a case study, you will need to reference information that is provided in the case study. Case studies might contain exhibits and other resources that provide more information about the scenario that is described in the case study. Each question is independent of the other questions in this case study.At the end of this case study, a review screen will appear. This screen allows you to review your answers and to make changes before you move to the next section of the exam. After you begin a new section, you cannot return to this section.To start the case study -To display the first question in this case study, click the Next button. Use the buttons in the left pane to explore the content of the case study before you answer the questions. Clicking these buttons displays information such as business requirements, existing environment, and problem statements. If the case study has anAll Information tab, note that the information displayed is identical to the information displayed on the subsequent tabs. When you are ready to answer a question, click the Question button to return to the question.Company Overview -HipLocal is a community application designed to facilitate communication between people in close proximity. It is used for event planning and organizing sporting events, and for businesses to connect with their local communities. HipLocal launched recently in a few neighborhoods in Dallas and is rapidly growing into a global phenomenon. Its unique style of hyper-local community communication and business outreach is in demand around the world.Executive Statement -We are the number one local community app; it's time to take our local community services global. Our venture capital investors want to see rapid growth and the same great experience for new local and virtual communities that come online, whether their members are 10 or 10000 miles away from each other.Solution Concept -HipLocal wants to expand their existing service, with updated functionality, in new regions to better serve their global customers. They want to hire and train a new team to support these regions in their time zones. They will need to ensure that the application scales smoothly and provides clear uptime data.Existing Technical Environment -HipLocal's environment is a mix of on-premises hardware and infrastructure running in Google Cloud Platform. The HipLocal team understands their application well, but has limited experience in global scale applications. Their existing technical environment is as follows:* Existing APIs run on Compute Engine virtual machine instances hosted in GCP.* State is stored in a single instance MySQL database in GCP.* Data is exported to an on-premises Teradata/Vertica data warehouse.* Data analytics is performed in an on-premises Hadoop environment.* The application has no logging.* There are basic indicators of uptime; alerts are frequently fired when the APIs are unresponsive.Business Requirements -HipLocal's investors want to expand their footprint and support the increase in demand they are seeing. Their requirements are:* Expand availability of the application to new regions.* Increase the number of concurrent users that can be supported.* Ensure a consistent experience for users when they travel to different regions.* Obtain user activity metrics to better understand how to monetize their product.* Ensure compliance with regulations in the new regions (for example, GDPR).* Reduce infrastructure management time and cost.* Adopt the Google-recommended practices for cloud computing.Technical Requirements -* The application and backend must provide usage metrics and monitoring.* APIs require strong authentication and authorization.* Logging must be increased, and data should be stored in a cloud analytics platform.* Move to serverless architecture to facilitate elastic scaling.* Provide authorized access to internal apps in a secure manner.Which service should HipLocal use to enable access to internal apps?",A.Cloud VPN,B.Cloud Armor,C.Virtual Private Cloud,D.Cloud Identity-Aware Proxy,,,D,,D,2,TRUE
result_examtopics professional cloud architect topic 1 138 discussion.html,"Your company has developed a monolithic, 3-tier application to allow external users to upload and share files. The solution cannot be easily enhanced and lacks reliability. The development team would like to re-architect the application to adopt microservices and a fully managed service approach, but they need to convince their leadership that the effort is worthwhile. Which advantage(s) should they highlight to leadership?","A.The new approach will be significantly less costly, make it easier to manage the underlying infrastructure, and automatically manage the CI/CD pipelines.",B.The monolithic solution can be converted to a container with Docker. The generated container can then be deployed into a Kubernetes cluster.,"C.The new approach will make it easier to decouple infrastructure from application, develop and release new features, manage the underlying infrastructure, manage CI/CD pipelines and perform A/B testing, and scale the solution if necessary.",D.The process can be automated with Migrate for Compute Engine.,,,C,,C,14,TRUE
,,,,,,,,,,B,2,FALSE
result_examtopics professional cloud architect topic 1 62 discussion.html,You need to evaluate your team readiness for a new GCP project. You must perform the evaluation and create a skills gap plan which incorporates the business goal of cost optimization. Your team has deployed two GCP projects successfully to date. What should you do?,A.Allocate budget for team training. Set a deadline for the new GCP project.,B.Allocate budget for team training. Create a roadmap for your team to achieve Google Cloud certification based on job role.,C.Allocate budget to hire skilled external consultants. Set a deadline for the new GCP project.,D.Allocate budget to hire skilled external consultants. Create a roadmap for your team to achieve Google Cloud certification based on job role.,,,B,,B,43,TRUE
,,,,,,,,,,A,8,FALSE
,,,,,,,,,,C,2,FALSE
result_examtopics professional cloud architect topic 1 239 discussion.html,You need to deploy an internet-facing microservices application to Google Kubernetes Engine (GKE). You want to validate new features using the A/B testing method. You have the following requirements for deploying new container image releases:A	There is no downtime when new container images are deployed.A	New production releases are tested and verified using a subset of production users.What should you do?,"A.1. Configure your CI/CD pipeline to update the Deployment manifest file by replacing the container version with the latest version.2. Recreate the Pods in your cluster by applying the Deployment manifest file.3. Validate the application's performance by comparing its functionality with the previous release version, and roll back if an issue arises.",B.1. Create a second namespace on GKE for the new release version.2. Create a Deployment configuration for the second namespace with the desired number of Pods.3. Deploy new container versions in the second namespace.4. Update the Ingress configuration to route traffic to the namespace with the new container versions.,"C.1. Install the Anthos Service Mesh on your GKE cluster.2. Create two Deployments on the GKE cluster, and label them with different version names.3. Implement an Istio routing rule to send a small percentage of traffic to the Deployment that references the new version of the application.","D.1. Implement a rolling update pattern by replacing the Pods gradually with the new release version.2. Validate the application's performance for the new subset of users during the rollout, and roll back if an issue arises.",,,C,,C,11,TRUE
,,,,,,,,,,B,5,FALSE
,,,,,,,,,,D,1,FALSE
result_examtopics professional cloud architect topic 1 124 discussion.html,Your company has an application deployed on Anthos clusters (formerly Anthos GKE) that is running multiple microservices. The cluster has both Anthos ServiceMesh and Anthos Config Management configured. End users inform you that the application is responding very slowly. You want to identify the microservice that is causing the delay. What should you do?,A.Use the Service Mesh visualization in the Cloud Console to inspect the telemetry between the microservices.,"B.Use Anthos Config Management to create a ClusterSelector selecting the relevant cluster. On the Google Cloud Console page for Google Kubernetes Engine, view the Workloads and filter on the cluster. Inspect the configurations of the filtered workloads.","C.Use Anthos Config Management to create a namespaceSelector selecting the relevant cluster namespace. On the Google Cloud Console page for Google Kubernetes Engine, visit the workloads and filter on the namespace. Inspect the configurations of the filtered workloads.",D.Reinstall istio using the default istio profile in order to collect request latency. Evaluate the telemetry between the microservices in the Cloud Console.,,,A,,A,9,TRUE
result_examtopics professional cloud architect topic 1 270 discussion.html,Your company's security team uses Identity and Access Management (IAM) to track which users have access to which resources. You need to create a version control system that can integrate with your security team's processes. You want your solution to support fast release cycles and frequent merges to your main branch to minimize merge conflicts. What should you do?,"A.Create a Cloud Source Repositories repository, and use trunk-based development.","B.Create a Cloud Source Repositories repository, and use feature-based development.","C.Create a GitHub repository, mirror it to a Cloud Source Repositories repository, and use trunk-based development.","D.Create a GitHub repository, mirror it to a Cloud Source Repositories repository, and use feature-based development.",,,A,,A,5,TRUE
,,,,,,,,,,C,4,FALSE
result_examtopics professional cloud architect topic 1 131 discussion.html,"Your company wants you to build a highly reliable web application with a few public APIs as the backend. You don't expect a lot of user traffic, but traffic could spike occasionally. You want to leverage Cloud Load Balancing, and the solution must be cost-effective for users. What should you do?",A.Store static content such as HTML and images in Cloud CDN. Host the APIs on App Engine and store the user data in Cloud SQL.,"B.Store static content such as HTML and images in a Cloud Storage bucket. Host the APIs on a zonal Google Kubernetes Engine cluster with worker nodes in multiple zones, and save the user data in Cloud Spanner.",C.Store static content such as HTML and images in Cloud CDN. Use Cloud Run to host the APIs and save the user data in Cloud SQL.,D.Store static content such as HTML and images in a Cloud Storage bucket. Use Cloud Functions to host the APIs and save the user data in Firestore.,,,D,,D,45,TRUE
,,,,,,,,,,C,12,FALSE
,,,,,,,,,,B,11,FALSE
,,,,,,,,,,A,3,FALSE
result_examtopics professional cloud architect topic 1 279 discussion.html,You are developing a flower ordering application. Currently you have three microservices:A	Order Service (receives the orders)A	Order Fulfillment Service (processes the orders)A	Notification Service (notifies the customer when the order is filled)You need to determine how the services will communicate with each other. You want incoming orders to be processed quickly and you need to collect order information for fulfillment. You also want to make sure orders are not lost between your services and are able to communicate asynchronously. How should the requests be processed?,A.,B.,C.,D.,,,D,,D,7,TRUE
result_examtopics professional cloud architect topic 1 157 discussion.html,"You are working at an institution that processes medical data. You are migrating several workloads onto Google Cloud. Company policies require all workloads to run on physically separated hardware, and workloads from different clients must also be separated. You created a sole-tenant node group and added a node for each client. You need to deploy the workloads on these dedicated hosts. What should you do?",A.Add the node group name as a network tag when creating Compute Engine instances in order to host each workload on the correct node group.,B.Add the node name as a network tag when creating Compute Engine instances in order to host each workload on the correct node.,C.Use node affinity labels based on the node group name when creating Compute Engine instances in order to host each workload on the correct node group.,D.Use node affinity labels based on the node name when creating Compute Engine instances in order to host each workload on the correct node.,,,D,,D,13,TRUE
,,,,,,,,,,C,4,FALSE
result_examtopics professional cloud architect topic 1 45 discussion.html,You are building a continuous deployment pipeline for a project stored in a Git source repository and want to ensure that code changes can be verified before deploying to production. What should you do?,A.Use Spinnaker to deploy builds to production using the red/black deployment strategy so that changes can easily be rolled back.,B.Use Spinnaker to deploy builds to production and run tests on production deployments.,C.Use Jenkins to build the staging branches and the master branch. Build and deploy changes to production for 10% of users before doing a complete rollout.,"D.Use Jenkins to monitor tags in the repository. Deploy staging tags to a staging environment for testing. After testing, tag the repository for production and deploy that to the production environment.",,,D,,D,27,TRUE
result_examtopics professional cloud architect topic 1 210 discussion.html,You are developing a web application that contains private images and videos stored in a Cloud Storage bucket. Your users are anonymous and do not have Google Accounts. You want to use your application-specific logic to control access to the images and videos. How should you configure access?,A.Cache each web application user's IP address to create a named IP table using Google Cloud Armor. Create a Google Cloud Armor security policy that allows users to access the backend bucket.,B.Grant the Storage Object Viewer IAM role to allUsers. Allow users to access the bucket after authenticating through your web application.,C.Configure Identity-Aware Proxy (IAP) to authenticate users into the web application. Allow users to access the bucket after authenticating through IAP.,D.Generate a signed URL that grants read access to the bucket. Allow users to access the URL after authenticating through your web application.,,,D,,D,8,TRUE
result_examtopics professional cloud architect topic 1 189 discussion.html,"You want to store critical business information in Cloud Storage buckets. The information is regularly changed, but previous versions need to be referenced on a regular basis. You want to ensure that there is a record of all changes to any information in these buckets. You want to ensure that accidental edits or deletions can be easily rolled back. Which feature should you enable?",A.Bucket Lock,B.Object Versioning,C.Object change notification,D.Object Lifecycle Management,,,B,,B,9,TRUE
result_examtopics professional cloud architect topic 1 129 discussion.html,"You are developing an application using different microservices that should remain internal to the cluster. You want to be able to configure each microservice with a specific number of replicas. You also want to be able to address a specific microservice from any other microservice in a uniform way, regardless of the number of replicas the microservice scales to. You need to implement this solution on Google Kubernetes Engine. What should you do?","A.Deploy each microservice as a Deployment. Expose the Deployment in the cluster using a Service, and use the Service DNS name to address it from other microservices within the cluster.","B.Deploy each microservice as a Deployment. Expose the Deployment in the cluster using an Ingress, and use the Ingress IP address to address the Deployment from other microservices within the cluster.","C.Deploy each microservice as a Pod. Expose the Pod in the cluster using a Service, and use the Service DNS name to address the microservice from other microservices within the cluster.","D.Deploy each microservice as a Pod. Expose the Pod in the cluster using an Ingress, and use the Ingress IP address name to address the Pod from other microservices within the cluster.",,,A,,A,22,TRUE
result_examtopics professional cloud architect topic 1 231 discussion.html,A company has an on-premises Microsoft SQL Server database that writes a nightly 200 GB export to a local drive. The company wants to move the backups to more robust cloud storage on Amazon S3. The company has set up a 10 Gbps AWS Direct Connect connection between the on-premises data center and AWS.Which solution meets these requirements MOST cost-effectively?,A.Create a new S3 bucket. Deploy an AWS Storage Gateway file gateway within the VPC that is connected to the Direct Connect connection. Create a new SMB file share. Write nightly database exports to the new SMB file share.,B.Create an Amazon FSx for Windows File Server Single-AZ file system within the VPC that is connected to the Direct Connect connection. Create a new SMB file share. Write nightly database exports to an SMB file share on the Amazon FSx file system. Enable nightly backups.,C.Create an Amazon FSx for Windows File Server Multi-AZ file system within the VPC that is connected to the Direct Connect connection. Create a new SMB file share. Write nightly database exports to an SMB file share on the Amazon FSx file system. Enable nightly backups.,"D.Create a new S3 bucket. Deploy an AWS Storage Gateway volume gateway within the VPC that is connected to the Direct Connect connection. Create a new SMB file share. Write nightly database exports to the new SMB file share on the volume gateway, and automate copies of this data to an S3 bucket.",,,A,,A,49,TRUE
,,,,,,,,,,D,2,FALSE
result_examtopics professional cloud architect topic 1 276 discussion.html,"A company has implemented an ordering system using an event-driven architecture. During initial testing, the system stopped processing orders. Further log analysis revealed that one order message in an Amazon Simple Queue Service (Amazon SQS) standard queue was causing an error on the backend and blocking all subsequent order messages. The visibility timeout of the queue is set to 30 seconds, and the backend processing timeout is set to 10 seconds. A solutions architect needs to analyze faulty order messages and ensure that the system continues to process subsequent messages.Which step should the solutions architect take to meet these requirements?",A.Increase the backend processing timeout to 30 seconds to match the visibility timeout.,B.Reduce the visibility timeout of the queue to automatically remove the faulty message.,C.Configure a new SQS FIFO queue as a dead-letter queue to isolate the faulty messages.,D.Configure a new SQS standard queue as a dead-letter queue to isolate the faulty messages.,,,D,,D,44,TRUE
,,,,,,,,,,C,6,FALSE
result_examtopics professional cloud architect topic 1 211 discussion.html,"You need to configure a Deployment on Google Kubernetes Engine (GKE). You want to include a check that verifies that the containers can connect to the database. If the Pod is failing to connect, you want a script on the container to run to complete a graceful shutdown. How should you configure the Deployment?","A.Create two jobs: one that checks whether the container can connect to the database, and another that runs the shutdown script if the Pod is failing.",B.Create the Deployment with a livenessProbe for the container that will fail if the container can't connect to the database. Configure a Prestop lifecycle handler that runs the shutdown script if the container is failing.,C.Create the Deployment with a PostStart lifecycle handler that checks the service availability. Configure a PreStop lifecycle handler that runs the shutdown script if the container is failing.,D.Create the Deployment with an initContainer that checks the service availability. Configure a Prestop lifecycle handler that runs the shutdown script if the Pod is failing.,,,B,,B,12,TRUE
,,,,,,,,,,D,2,FALSE
result_examtopics professional cloud architect topic 1 77 discussion.html,You want to establish a Compute Engine application in a single VPC across two regions. The application must communicate over VPN to an on-premises network.How should you deploy the VPN?,A.Use VPC Network Peering between the VPC and the on-premises network.,B.Expose the VPC to the on-premises network using IAM and VPC Sharing.,C.Create a global Cloud VPN Gateway with VPN tunnels from each region to the on-premises peer gateway.,D.Deploy Cloud VPN Gateway in each region. Ensure that each region has at least one VPN tunnel to the on-premises peer gateway.,,,D,,D,18,TRUE
,,,,,,,,,,C,2,FALSE
result_examtopics professional cloud architect topic 1 250 discussion.html,"You have an application running on Google Kubernetes Engine (GKE). The application is currently using a logging library and is outputting to standard output. You need to export the logs to Cloud Logging, and you need the logs to include metadata about each request. You want to use the simplest method to accomplish this. What should you do?","A.Change your applicationAos logging library to the Cloud Logging library, and configure your application to export logs to Cloud Logging.","B.Update your application to output logs in JSON format, and add the necessary metadata to the JSON.","C.Update your application to output logs in CSV format, and add the necessary metadata to the CSV.","D.Install the Fluent Bit agent on each of your GKE nodes, and have the agent export all logs from /var/log.",,,A,,A,10,TRUE
,,,,,,,,,,B,10,FALSE
,,,,,,,,,,D,1,FALSE
result_examtopics professional cloud architect topic 1 236 discussion.html,"You need to build a public API that authenticates, enforces quotas, and reports metrics for API callers. Which tool should you use to complete this architecture?",A.App Engine,B.Cloud Endpoints,C.Identity-Aware Proxy,D.GKE Ingress for HTTP(S) Load Balancing,,,B,,B,5,TRUE
result_examtopics professional cloud architect topic 1 139 discussion.html,Your team is developing a web application that will be deployed on Google Kubernetes Engine (GKE). Your CTO expects a successful launch and you need to ensure your application can handle the expected load of tens of thousands of users. You want to test the current deployment to ensure the latency of your application stays below a certain threshold. What should you do?,"A.Use a load testing tool to simulate the expected number of concurrent users and total requests to your application, and inspect the results.","B.Enable autoscaling on the GKE cluster and enable horizontal pod autoscaling on your application deployments. Send curl requests to your application, and validate if the auto scaling works.",C.Replicate the application over multiple GKE clusters in every Google Cloud region. Configure a global HTTP(S) load balancer to expose the different clusters over a single global IP address.,D.Use Cloud Debugger in the development environment to understand the latency between the different microservices.,,,A,,A,30,TRUE
,,,,,,,,,,B,6,FALSE
result_examtopics professional cloud architect topic 1 197 discussion.html,You are working at a financial institution that stores mortgage loan approval documents on Cloud Storage. Any change to these approval documents must be uploaded as a separate approval file. You need to ensure that these documents cannot be deleted or overwritten for the next 5 years. What should you do?,A.Create a retention policy on the bucket for the duration of 5 years. Create a lock on the retention policy.,B.Create a retention policy organizational constraint constraints/storage.retentionPolicySeconds at the organization level. Set the duration to 5 years.,C.Use a customer-managed key for the encryption of the bucket. Rotate the key after 5 years.,D.Create a retention policy organizational constraint constraints/storage.retentionPolicySeconds at the project level. Set the duration to 5 years.,,,A,,A,13,TRUE
result_examtopics professional cloud architect topic 1 170 discussion.html,One of your primary business objectives is being able to trust the data stored in your application. You want to log all changes to the application data.How can you design your logging system to verify authenticity of your logs?,A.Write the log concurrently in the cloud and on premises,B.Use a SQL database and limit who can modify the log table,C.Digitally sign each timestamp and log entry and store the signature,D.Create a JSON dump of each log entry and store it in Google Cloud Storage,,,C,,C,5,TRUE
result_examtopics professional cloud architect topic 1 153 discussion.html,"You have deployed an application on Anthos clusters (formerly Anthos GKE). According to the SRE practices at your company, you need to be alerted if request latency is above a certain threshold for a specified amount of time. What should you do?","A.Install Anthos Service Mesh on your cluster. Use the Google Cloud Console to define a Service Level Objective (SLO), and create an alerting policy based on this SLO.","B.Enable the Cloud Trace API on your project, and use Cloud Monitoring Alerts to send an alert based on the Cloud Trace metrics.","C.Use Cloud Profiler to follow up the request latency. Create a custom metric in Cloud Monitoring based on the results of Cloud Profiler, and create an Alerting policy in case this metric exceeds the threshold.","D.Configure Anthos Config Management on your cluster, and create a yaml file that defines the SLO and alerting policy you want to deploy in your cluster.",,,A,,A,14,TRUE
,,,,,,,,,,B,5,FALSE
result_examtopics professional cloud architect topic 1 173 discussion.html,The operations team in your company wants to save Cloud VPN log events for one year. You need to configure the cloud infrastructure to save the logs. What should you do?,A.Set up a filter in Cloud Logging and a Cloud Storage bucket as an export target for the logs you want to save.,"B.Enable the Compute Engine API, and then enable logging on the firewall rules that match the traffic you want to save.","C.Set up a Cloud Logging Dashboard titled Cloud VPN Logs, and then add a chart that queries for the VPN metrics over a one-year time period.",D.Set up a filter in Cloud Logging and a topic in Pub/Sub to publish the logs.,,,A,,A,17,TRUE
result_examtopics professional cloud architect topic 1 148 discussion.html,You are designing a Data Warehouse on Google Cloud and want to store sensitive data in BigQuery. Your company requires you to generate the encryption keys outside of Google Cloud. You need to implement a solution. What should you do?,A.Generate a new key in Cloud Key Management Service (Cloud KMS). Store all data in Cloud Storage using the customer-managed key option and select the created key. Set up a Dataflow pipeline to decrypt the data and to store it in a new BigQuery dataset.,B.Generate a new key in Cloud KMS. Create a dataset in BigQuery using the customer-managed key option and select the created key.,C.Import a key in Cloud KMS. Store all data in Cloud Storage using the customer-managed key option and select the created key. Set up a Dataflow pipeline to decrypt the data and to store it in a new BigQuery dataset.,D.Import a key in Cloud KMS. Create a dataset in BigQuery using the customer-supplied key option and select the created key.,,,D,,D,46,TRUE
,,,,,,,,,,C,13,FALSE
,,,,,,,,,,B,4,FALSE
result_examtopics professional cloud architect topic 1 108 discussion.html,You are developing an application that will allow users to read and post comments on news articles. You want to configure your application to store and display user-submitted comments using Firestore. How should you design the schema to support an unknown number of comments and articles?,A.Store each comment in a subcollection of the article.,B.Add each comment to an array property on the article.,"C.Store each comment in a document, and add the comment's key to an array property on the article.","D.Store each comment in a document, and add the comment's key to an array property on the user profile.",,,A,,A,20,TRUE
,,,,,,,,,,D,12,FALSE
,,,,,,,,,,C,6,FALSE
result_examtopics professional cloud architect topic 1 181 discussion.html,"You have a Compute Engine managed instance group that adds and removes Compute Engine instances from the group in response to the load on your application. The instances have a shutdown script that removes REDIS database entries associated with the instance. You see that many database entries have not been removed, and you suspect that the shutdown script is the problem. You need to ensure that the commands in the shutdown script are run reliably every time an instance is shut down. You create a Cloud Function to remove the database entries. What should you do next?",A.Modify the shutdown script to wait for 30 seconds before triggering the Cloud Function.,B.Do not use the Cloud Function. Modify the shutdown script to restart if it has not completed in 30 seconds.,C.Set up a Cloud Monitoring sink that triggers the Cloud Function after an instance removal log message arrives in Cloud Logging.,D.Modify the shutdown script to wait for 30 seconds and then publish a message to a Pub/Sub queue.,,,C,,C,20,TRUE
,,,,,,,,,,A,4,FALSE
,,,,,,,,,,D,4,FALSE
result_examtopics professional cloud architect topic 1 168 discussion.html,"Your marketing department wants to send out a promotional email campaign. The development team wants to minimize direct operation management. They project a wide range of possible customer responses, from 100 to 500,000 click-through per day. The link leads to a simple website that explains the promotion and collects user information and preferences.Which infrastructure should you recommend? (Choose two.)",A.Use Google App Engine to serve the website and Google Cloud Datastore to store user data.,B.Use a Google Container Engine cluster to serve the website and store data to persistent disk.,C.Use a managed instance group to serve the website and Google Cloud Bigtable to store user data.,"D.Use a single Compute Engine virtual machine (VM) to host a web server, backend by Google Cloud SQL.",,,AC,,AC,10,TRUE
result_examtopics professional cloud architect topic 1 183 discussion.html,"Your company recently acquired a company that has infrastructure in Google Cloud. Each company has its own Google Cloud organization. Each company is using a Shared Virtual Private Cloud (VPC) to provide network connectivity for its applications. Some of the subnets used by both companies overlap. In order for both businesses to integrate, the applications need to have private network connectivity. These applications are not on overlapping subnets. You want to provide connectivity with minimal re-engineering. What should you do?",A.Set up VPC peering and peer each Shared VPC together.,B.Migrate the projects from the acquired company into your company's Google Cloud organization. Re-launch the instances in your companies Shared VPC.,C.Set up a Cloud VPN gateway in each Shared VPC and peer Cloud VPNs.,D.Configure SSH port forwarding on each application to provide connectivity between applications in the different Shared VPCs.,,,C,,C,52,TRUE
,,,,,,,,,,A,6,FALSE
,,,,,,,,,,B,2,FALSE
result_examtopics professional cloud architect topic 1 105 discussion.html,"Your company has an application running on multiple Compute Engine instances. You need to ensure that the application can communicate with an on-premises service that requires high throughput via internal IPs, while minimizing latency. What should you do?",A.Use OpenVPN to configure a VPN tunnel between the on-premises environment and Google Cloud.,B.Configure a direct peering connection between the on-premises environment and Google Cloud.,C.Use Cloud VPN to configure a VPN tunnel between the on-premises environment and Google Cloud.,D.Configure a Cloud Dedicated Interconnect connection between the on-premises environment and Google Cloud.,,,D,,D,56,TRUE
,,,,,,,,,,C,1,FALSE
